rank,uid,username,type
1,8668075,Negativeday单推版,总督
2,3546568349190684,peach好吃,总督
3,50371474,账号已注销,提督
4,1718999,チェリーぴよ,提督
5,1430567,Mayoi0v0,提督
6,7226859,南雍雪境,提督
7,4691031,如花似君,提督
8,2103201,噜噜露露lulu猪,提督
9,23364462,luluのbochi,提督
10,137909049,Arthurceアーサー,提督
11,405213828,夏忆Smile,提督
12,844701,身上有lu的香水味_香水,提督
13,13490987,雫るる的maro,提督
14,554248025,階段を上るふみこ,提督
15,19289115,NyaAoi,提督
16,3841380,suleizc,提督
17,8339343,麻衣さん最高です,提督
18,10107894,时间的陈迹,提督
19,12889974,凝如实,提督
20,335316784,总是被るる无视,提督
21,438662737,涅梅西斯_4847,提督
22,6370097,执事只是挚食芝士,提督
23,111868,SayakaS,提督
24,7605,單调-多彩,提督
25,2991831,三井寿头,提督
26,66758611,假笑保护伞,提督
27,28168725,秋鱼_0へ0,提督
28,370130953,石琳君,提督
29,86002678,随便起一个就好了啊,提督
30,384612754,懒裤裆の张哥,提督
31,375143185,就当作是寂寞,提督
32,28527491,火星上的小小白,提督
33,6414823,雫塔莎罗斯托娃,提督
34,57085280,第三方发现,提督
35,23538831,发条不灵,提督
36,247559680,忘记过去zz,提督
37,8174622,残丨阳,提督
38,15401154,ioal-zx,提督
39,591332433,WangRZ0v0,提督
40,282795081,晚非桑榆,提督
41,115660,蔺无双双双双双,舰长
42,297899,大富豪貧民,舰长
43,457388376,姆q老师,舰长
44,25893271,蛤蟆小金_,舰长
45,3863280,月亮掉进井里啦,舰长
46,49387718,鱼雨晴_,舰长
47,431385327,账号已注销,舰长
48,20397808,雫るる我的最爱,舰长
49,72328233,三玖丨三玖,舰长
50,490825372,桐楠柯,舰长
51,197297,满足,舰长
52,438677,ルルカ,舰长
53,3464517,西村有狗子,舰长
54,3494359815162159,須河原晶,舰长
55,2267307,哆啦贡荡斯,舰长
56,12695530,AbsintheIC,舰长
57,258991556,拿着小锤敲坏蛋,舰长
58,468341,水守Payne,舰长
59,85163,摸鱼丸,舰长
60,54043,肉_汁,舰长
61,1800983,Veritas21,舰长
62,251075309,艺术诗人阿克曼,舰长
63,143641,御意见无用-,舰长
64,160,博丽灵梦,舰长
65,386584259,AqukinMaster,舰长
66,663719,K1rin_,舰长
67,17052827,諏訪丶丶ミジュマル,舰长
68,3158731,一只无聊的打工人,舰长
69,1113205,这里是小九喵,舰长
70,12197950,hun害怕,舰长
71,300215,雫lu豆,舰长
72,7920069,快丨好吗,舰长
73,14988107,肥奥-胖兰度,舰长
74,314345,微风如晨,舰长
75,1810032,直美MJきびつい,舰长
76,28939986,后工业艺术,舰长
77,2229984,境界上のホライゾン,舰长
78,26597121,努力挣钱的jill,舰长
79,298253987,Maro_OfficiaI,舰长
80,278120467,绫的可能性,舰长
81,14007275,霸啦霸霸霸,舰长
82,23936896,冰云__,舰长
83,61350,妖妖の梦,舰长
84,2148613,豆沙豆浆,舰长
85,7269079,文若兮,舰长
86,21574091,舐魂kq,舰长
87,505775,捡垃圾的sawa,舰长
88,20109683,一只潜水鸡,舰长
89,17626083,一只迎春花,舰长
90,378951,亦無忧,舰长
91,2122210,DDDRACO_,舰长
92,67692415,ひたちまこYC,舰长
93,9981158,影陌_inami,舰长
94,8063582,妹子你很不错,舰长
95,14695633,花果山董依依,舰长
96,25101519,想水的鱼,舰长
97,807,霧珠れいむ,舰长
98,28463040,AaBbCcXxxx,舰长
99,3349214,海洛伊丝_,舰长
100,88375022,LAるる,舰长
101,278006268,KevinWhiteCloud,舰长
102,880884,ShawwwJune,舰长
103,1595435530,我没有钱我不要脸-8-,舰长
104,15560449,稚面素心,舰长
105,4042688,水煮肉片饭饭饭,舰长
106,561565,icemon,舰长
107,51260329,雨林是雫个,舰长
108,3269606,新子憧Official,舰长
109,11635383,saojia456,舰长
110,389297944,C繁,舰长
111,343781321,るる今天也想吃麦当劳,舰长
112,22748041,cccccccchang,舰长
113,3121889,BP王,舰长
114,1534878,酱油窝蹲,舰长
115,321589,圆神圆神圆,舰长
116,9192610,丿嘲笑,舰长
117,130500,吸管伯爵,舰长
118,228952217,希望你开心雫,舰长
119,12175462,矸小亓,舰长
120,43669060,豆fa酸菜鱼儿,舰长
121,557624,魔菇先生_Official,舰长
122,176591887,雨帝降雨,舰长
123,35853257,C_hdddd,舰长
124,129157,臭OTAKU,舰长
125,35173225,修行中的大魔法师,舰长
126,12590566,麵麵麵麵麺,舰长
127,22034735,喜欢猫咪汉堡,舰长
128,6417403,SmartDiffusionAI,舰长
129,14368,赤道上的冰雪,舰长
130,10786406,Arthur_official,舰长
131,4511000,珊儿在练字,舰长
132,584430,ふゆゆゆゆ,舰长
133,181098204,五没有花肉,舰长
134,833741,ルリルル,舰长
135,38935852,单推Aimer八年,舰长
136,23194074,大锐啦啦啦,舰长
137,229614,Dima门徒,舰长
138,3107936,Oh-Oh-傲,舰长
139,2686958,St_CC肄业生,舰长
140,1310062580,污污污火车,舰长
